timestamp,btc_price,btc_volume,eth_price,eth_volume,fees,stablecoins_supply,defi_tvl,market_cap,volume,fng_value,is_panic_day,is_defi_stress_day,panic_in_next_days,is_pure_stress_day,target
2022-12-06,16973.37257755,23204017213.92963,1259.75757486,5795682744.772271,14368999.0,65572109061.0,41085701478.0,889345840197.6002,49026731832.817566,25,0,0,0.0,0,0.0
2022-12-07,17085.64314125,21026126511.19885,1271.93547613,4765089563.175744,15093541.0,65675363712.0,41474753800.0,893146735292.8273,43083657239.894005,29,0,0,0.0,0,0.0
2022-12-08,16851.30346863,21192130005.603653,1233.6250484,5392077793.333963,14693518.0,65672735697.0,41436101774.0,877105285159.4016,44060319088.369736,25,0,0,0.0,0,0.0
2022-12-09,17235.01415799,22674029585.253864,1281.21063707,5929103713.4824705,14155999.0,65697842712.0,41587932287.0,895337326237.003,44773616900.827774,26,0,0,0.0,0,0.0
2022-12-10,17149.82420393,23179829829.170135,1264.47734672,5743935111.263781,15884731.0,65698342212.0,41551411738.0,889756523669.6497,44012135425.68794,27,0,0,0.0,0,0.0
2022-12-11,17125.36492769,14234368489.84426,1264.79227935,3136321665.2746277,13532554.0,65698342212.0,41841545852.0,889673631659.6672,29223134594.270332,26,0,0,0.0,0,0.0
2022-12-12,17101.03801973,15681124918.738192,1264.31798555,3179021750.4472365,14350911.0,65698342212.0,41387518062.0,886594190098.2219,30016474062.444923,27,0,0,0.0,0,0.0
2022-12-13,17179.5960382,21633829199.489113,1275.33242116,5107100671.713232,17138355.0,65795364654.0,41351634019.0,886757234147.1702,55994917128.31178,27,0,0,0.0,0,0.0
2022-12-14,17784.16289405,28941242217.591747,1319.41300774,8667920250.973438,15514976.0,65977518212.0,41472883128.0,906486762345.5148,66296529616.941216,30,0,0,0.0,0,0.0
2022-12-15,17808.71617266,27267536668.811485,1308.40015234,8063349707.439905,14915404.0,65967147441.0,41381812650.0,902895332647.9292,54390724920.64509,31,0,0,0.0,0,0.0
2022-12-16,17338.35812663,22754686787.817104,1263.74642409,6014960880.483797,16924102.0,66030168212.0,40717429804.0,881290572815.7119,43788249689.0838,29,0,0,0.0,0,0.0
2022-12-17,16623.75782614,22250411214.773224,1165.97377728,9306680537.671982,14743437.0,66046429818.0,38890691291.0,833820764350.8466,55237812300.29658,28,0,0,0.0,0,0.0
2022-12-18,16806.48559206,15086383815.776106,1189.42752156,4893469369.238545,14127115.0,66160482663.0,39113092105.0,844732839963.7443,36467447422.61306,26,0,0,0.0,0,0.0
2022-12-19,16742.81666383,11134054723.147482,1186.77792104,3175705524.420867,14651376.0,66155190882.0,39223815995.0,844055827049.9631,24137483792.99352,29,0,0,0.0,0,0.0
2022-12-20,16422.56227328,17719672544.8918,1166.98959052,4281620919.98248,15214723.0,66203341240.0,38604352817.0,825919108862.8158,36881762791.74356,29,0,0,0.0,0,0.0
2022-12-21,16899.33196905,24938219697.886032,1217.88889166,6463130153.512681,14307942.0,66233093212.0,39186461856.0,849281912093.2316,45732862771.98043,26,0,0,0.0,0,0.0
2022-12-22,16816.85370119,16062767787.358068,1213.34316123,4086534541.450752,14954412.0,66237845405.0,39173627949.0,843532326679.2875,33181049620.91158,28,0,0,0.0,0,0.0
2022-12-23,16824.79016244,17847826941.681046,1217.85254971,5190165001.535945,14883236.0,66234588490.0,39164936338.0,844846458686.8127,35379795061.36306,27,0,0,0.0,0,0.0
2022-12-24,16791.45543916,16765392449.950891,1220.70174492,4777025971.87922,13328976.0,66237795405.0,39104320567.0,844299529708.2854,34579511565.282776,29,0,0,0.0,0,0.0
2022-12-25,16848.56870832,10169853734.117493,1221.35953035,2443348024.2152143,13416885.0,66237795405.0,39152826286.0,845342076365.195,19858651317.415516,29,0,0,0.0,0,0.0
2022-12-26,16842.17703991,12574453968.75801,1219.28634322,3694243212.8174734,13794483.0,66237795405.0,38773780493.0,844107472118.435,25306742787.98483,28,0,0,0.0,0,0.0
2022-12-27,16900.08187194,12574997282.039291,1226.25341483,3071221733.631151,14671133.0,66240744514.0,38966517127.0,848191715235.614,25681778005.856895,27,0,0,0.0,0,0.0
2022-12-28,16701.84021067,17436062121.5136,1211.81956206,4221450706.7612934,14795633.0,66220423316.0,38760990735.0,840489281772.0668,33665366503.73438,28,0,0,0.0,0,0.0
2022-12-29,16538.906094,19113614755.874695,1188.72866388,5177421363.012343,14370876.0,66221318672.0,38503864614.0,827395908388.5054,38979189275.753365,28,0,0,0.0,0,0.0
2022-12-30,16644.37908704,15683731676.998154,1201.54310606,4174715683.628057,14152856.0,66231184474.0,38496749820.0,831261620180.643,34435972066.14787,28,0,0,0.0,0,0.0
2022-12-31,16604.02052037,17497327983.349342,1199.11049717,4110733112.8102927,14088271.0,66223237023.0,38384581806.0,829262009288.9207,34230964403.75078,25,0,0,0.0,0,0.0
2023-01-01,16540.69362478,12013247678.029589,1196.61306481,2891351007.4251895,13756863.0,66237201876.0,37928009727.0,828578631897.6833,24900971229.36647,26,0,0,0.0,0,0.0
2023-01-02,16615.96931801,9799252684.089952,1200.6592169,2179799161.0385365,14476472.0,66229859346.0,38208325390.0,832069367936.0369,20692302389.135765,27,0,0,0.0,0,0.0
2023-01-03,16674.3425363,13023861027.769472,1214.37894593,3845095582.093461,14466948.0,66233172164.0,38412793757.0,839087693596.8314,29720375854.10916,26,0,0,0.0,0,0.0
2023-01-04,16677.64618585,15367167883.495031,1214.76096942,3385566691.456905,16735170.0,66232840220.0,38450162827.0,839763043598.0459,32430997977.17708,29,0,0,0.0,0,0.0
2023-01-05,16855.17473877,20836560771.723633,1256.43660378,6727208484.546551,15556418.0,66236484982.0,39094047520.0,855264809503.2738,44058502639.26039,29,0,0,0.0,0,0.0
2023-01-06,16832.0989885,14919039445.1069,1250.79225224,4052351544.8201857,15314423.0,66238632792.0,38981542263.0,851365654059.8236,33397578003.12409,26,0,0,0.0,0,0.0
2023-01-07,16960.23206248,19046576249.72856,1270.02861018,5222706873.557585,15891185.0,66243602677.0,39063603763.0,858846723485.5535,41166773128.79427,25,0,0,0.0,0,0.0
2023-01-08,16950.86152185,9594456673.448977,1264.83694338,2439388823.0572276,15428818.0,66247923826.0,39163636752.0,858630201944.9802,22392835255.27359,25,0,0,0.0,0,0.0
2023-01-09,17074.61539573,11841041542.993702,1284.57540413,3401917835.2694077,19215268.0,66275348317.0,39896774826.0,870969898905.1096,28763410204.392723,25,0,0,0.0,0,0.0
2023-01-10,17194.90932945,25532751567.19817,1321.67657117,8615288094.160769,15814510.0,66265138847.0,40251621707.0,884075790359.1389,63546145175.372215,26,0,0,0.0,0,0.0
2023-01-11,17436.90232978,21858206845.29233,1336.01707177,6390063040.044838,16300815.0,66263599730.0,40448686798.0,893998843090.7368,49383459274.37989,26,0,0,0.0,0,0.0
2023-01-12,17996.83255374,25439279072.98185,1389.77166209,6779329581.863201,19149726.0,66265897676.0,41535197808.0,920221455955.9388,53258556962.452835,30,0,0,0.0,0,0.0
2023-01-13,18866.81033062,48025109150.17737,1417.13490874,13360962683.072271,18015147.0,66270292018.0,41803129795.0,943425456000.234,88804047372.14656,31,0,0,0.0,0,0.0
2023-01-14,19941.7805433,39514419053.17687,1453.37691021,8386970426.225097,20615601.0,66270814051.0,43993517487.0,980156530125.4417,75292977845.31311,46,0,0,0.0,0,0.0
2023-01-15,21019.20661402,49498711311.53301,1549.11147408,15505376250.712309,17097017.0,66354669258.0,43974446676.0,1023564319030.1184,110170294471.15688,52,0,0,0.0,0,0.0
2023-01-16,20853.23056949,23072133987.553684,1551.32451718,7074931051.0836935,18113433.0,66374033440.0,44356526765.0,1023325784973.2424,60299156506.59912,45,0,0,0.0,0,0.0
2023-01-17,21175.33773663,34809391745.54498,1577.72589048,9434570734.551754,18866800.0,66485923929.0,44395252487.0,1031596626629.7444,73466749016.7833,51,0,0,0.0,0,0.0
2023-01-18,21156.78393117,33278841336.508595,1569.53083323,8482482040.670269,22044360.0,66492831604.0,44545238088.0,1029926942491.8127,66969092294.42753,52,0,0,0.0,0,0.0
2023-01-19,20726.84496943,40612056908.80891,1516.55547547,11809477723.65587,19376937.0,66477485276.0,43566078158.0,994668060682.4417,85013438969.46199,45,0,0,0.0,0,0.0
2023-01-20,21081.6710222,29144534677.57505,1550.50888756,6871702648.394773,19812253.0,66476820501.0,44250909091.0,1012972057556.8073,55893373926.01589,51,0,0,0.0,0,0.0
2023-01-21,22705.8336789,41321936668.62795,1661.33491934,9228892411.460192,20163230.0,66484133025.0,46279275011.0,1077563602371.1854,75346258553.90735,53,0,0,0.0,0,0.0
2023-01-22,22771.02328702,44077026803.66082,1625.90931099,9663018503.707115,19072959.0,66703495301.0,46146841044.0,1070206118541.6836,85433647850.92998,53,0,0,0.0,0,0.0
2023-01-23,22736.66142893,34124364415.43915,1630.84485494,8233555835.053316,19159758.0,66765654159.0,46240759625.0,1076150913819.6924,70734472105.68552,50,0,0,0.0,0,0.0
2023-01-24,22984.87497644,36750647385.65293,1632.96172671,9037743837.862549,20860699.0,66847055676.0,46500211094.0,1086692209867.7136,76874243469.3965,52,0,0,0.0,0,0.0
2023-01-25,22610.01059827,35621897292.95152,1557.05976087,9078639809.982985,20714786.0,67039191545.0,45768154928.0,1058187859613.2466,75999044207.76439,51,0,0,0.0,0,0.0
2023-01-26,23180.42269787,42772537174.72366,1614.67718506,11946053798.490389,20532783.0,67187728354.0,46965271655.0,1084394573728.838,86050746950.51369,54,0,0,0.0,0,0.0
2023-01-27,23024.74618082,37099702812.22777,1602.84694925,10076436860.256,20471118.0,67335036407.0,46666980374.0,1085444675000.6198,75995232144.66795,55,0,0,0.0,0,0.0
2023-01-28,23082.85838212,36109035905.258965,1598.47019355,9593062923.130283,18059145.0,67517343369.0,47157939171.0,1091777366771.4906,75482076840.48074,52,0,0,0.0,0,0.0
2023-01-29,23022.23299135,19567219823.87809,1573.06343943,6523949724.808857,19400500.0,67639905326.0,47001381824.0,1084832382430.0546,49396387331.96556,55,0,0,0.0,0,0.0
2023-01-30,23797.46089488,38438621263.58117,1646.51599009,10037370816.308008,19684352.0,67778453765.0,47965409928.0,1118925425329.4685,72488876951.29324,61,0,0,0.0,0,0.0
2023-01-31,22840.3858588,38594596831.97205,1568.6477135,10977781767.502348,19145738.0,67806044005.0,46461341894.0,1075286900284.5294,80072763121.24333,51,0,0,0.0,0,0.0
2023-02-01,23137.32355409,32683643418.329483,1586.53957658,7544090211.946499,20858197.0,67798826675.0,46932630892.0,1089808045778.8594,65900236768.45151,56,0,0,0.0,0,0.0
2023-02-02,23725.16179614,37452064508.17389,1642.85716816,9295116915.9373,22507418.0,67815863019.0,48649758439.0,1117435290921.952,78345326604.57526,60,0,0,0.0,0,0.0
